"Materials Table.  Posted Version 1.0, 19-May-2025",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Added cost calculation,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Material ID,Material,Supplier,Category,Table Price,Unit 1,Unit 2,C1,C2,Size1,Size2,Calc Value,Modified,Comments
,"Tubing, Steel",,Plumbing,146.25,kg,,,,,,,2017-05-10 00:00:00,"Cost using area, length and density and include process cost for flaring of tube ends, etc.  Can also cost off steel or stainless steel raw material (same cost)."
,Aluminum Metal Matrix Composite,Any,Raw Material,2145,kg,,,,,,,2017-05-10 00:00:00,
,"Aluminum, Normal",Any,Raw Material,273,kg,,,,,,,2017-05-10 00:00:00,"e.g. 2024, 6061, A356, A380"
,"Aluminum, Premium",Any,Raw Material,273,kg,,,,,,,2017-05-10 00:00:00,e.g. 7075
,Brass,Any,Raw Material,143,kg,,,,,,,2017-05-10 00:00:00,
,Bronze,Any,Raw Material,143,kg,,,,,,,2017-05-10 00:00:00,
,Copper,Any,Raw Material,143,kg,,,,,,,2017-05-10 00:00:00,
,Cork,Any,Raw Material,0.33,cm^3,,,,,,,2017-05-10 00:00:00,
,"Foam, Expanding, Non-Structural",Any,Raw Material,975,kg,,,,,,,2017-05-10 00:00:00,Expanding foam such as is used for seats.  Not to be used as core in a composite sandwhich panel.
,Inconel,Any,Raw Material,1430,kg,,,,,,,2017-05-10 00:00:00,Please submit an Add Item Request
,Iron,Any,Raw Material,65,kg,,,,,,,2017-05-10 00:00:00,
,Magnesium,Any,Raw Material,390,kg,,,,,,,2017-05-10 00:00:00,
,"Magnet, ferrite",Any,Raw Material,650,kg,,,,,,,2017-05-10 00:00:00,
,"Magnet, neodymium high strength",Any,Raw Material,5200,kg,,,,,,,2017-05-10 00:00:00,
,Nickel,Any,Raw Material,143,kg,,,,,,,2017-05-10 00:00:00,
,"Plastic, ABS",Any,Raw Material,214.5,kg,,,,,,,2017-05-10 00:00:00,"PVC, Thermoplastic"
,"Plastic, Acetal",Any,Raw Material,214.5,kg,,,,,,,2017-05-10 00:00:00,"Delrin, Turcite, Acetal Copolymer"
,"Plastic, Acrylic",Any,Raw Material,214.5,kg,,,,,,,2017-05-10 00:00:00,"Extruded, Cast"
,"Plastic, Flouropolymers",Any,Raw Material,214.5,kg,,,,,,,2017-05-10 00:00:00,"Teflon® PTFE, PTFE (polytetrafluoroethylene), ETFE (ethylene tetrafluoroethylene), PFA (perfluoroalkoxy fluorocarbon), CTFE (chlorotrifluoroethylene), PVDF (Kynar), ECTFE (Halar), FEP (fluorinated ethylene-propylene), Rulon®"
,"Plastic, Garolite",Any,Raw Material,214.5,kg,,,,,,,2017-05-10 00:00:00,"Industrial Laminates, Phenolics, Thermosets"
,"Plastic, Nylon",Any,Raw Material,214.5,kg,,,,,,,2017-05-10 00:00:00,"Nylon 6/6, Nylon 6/12"
,"Plastic, PEEK",Any,Raw Material,214.5,kg,,,,,,,2017-05-10 00:00:00,
,"Plastic, Polycarbonate",Any,Raw Material,214.5,kg,,,,,,,2017-05-10 00:00:00,
,"Plastic, Polyethelene",Any,Raw Material,214.5,kg,,,,,,,2017-05-10 00:00:00,"LDPE (low density polyethylene), UHMW (ultra high molecular weight), HDPE (high density polyethylene), VHMW (very high molecular weight)"
,"Plastic, Polyoxymethylene (POM)",Any,Raw Material,214.5,kg,,,,,,,2017-05-10 00:00:00,Delrin
,"Plastic, Polypropolene",Any,Raw Material,214.5,kg,,,,,,,2017-05-10 00:00:00,
