"Process Table.  Posted Version 1, 19-May-25",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Process ID,Process,Unit Cost,Unit,Category,Tooling Required,Near Net Shape,Multiplier Type Used,Modified,Comments
,"Broach, External",32.5,cm,Material Removal,,,,2017-05-10 00:00:00,Linear distance of broach
,"Broach, Internal",32.5,cm,Material Removal,,,,2017-05-10 00:00:00,Linear distance of broach
,Drilled hole < 50.8 mm dia.,45.5,hole,Material Removal,,,Drill & Tap,2017-05-10 00:00:00,Holes >= 50.8 mm must be machined
,Drilled holes < 25.4 mm dia.,22.75,hole,Material Removal,,,Drill & Tap,2017-05-10 00:00:00,
,EDM - Plunge,19.5,cm^3,Material Removal,,,Machining,2017-05-10 00:00:00,
,EDM - Wire,13,cm,Material Removal,,,Machining,2017-05-10 00:00:00,
,Gear Shaping (hobbing),32.5,cm,Material Removal,,,Machining,2017-05-10 00:00:00,Linear travel of gear shaping.  A half-shaft end 5cm long would cost Rupees 162.5
,"Grind, Cylindrical",9.75,cm^2,Material Removal,,,Machining,2017-05-10 00:00:00,0.25mm machine stock
,"Grind, Flat",9.75,cm^2,Material Removal,,,Machining,2017-05-10 00:00:00,0.25mm machine stock
,"Grind, Profile",9.75,cm^2,Material Removal,,,Machining,2017-05-10 00:00:00,0.25mm machine stock
,Hand Finish - Material Removal,13,cm^3,Material Removal,,,Machining,2017-05-10 00:00:00,"Hand sanding, grinding, shaping.  Any manual material removal process."
,Hand Finish - Surface Preperation,1.3,cm^2,Material Removal,,,Machining,2017-05-10 00:00:00,"Hand sanding, cleaning or other operations used to prepare the surface, such as for bonding."
,Knurling,6.5,cm,Material Removal,,,Machining,2017-05-10 00:00:00,"Linear distance of knurl on part (length of knurl, not diameter)"
,Laser Cut,0.65,cm,Material Removal,,,Machining,2017-05-10 00:00:00,Revised cost for 2011 Competition Years
